,2,4,6
180,0.2,0.4,0.3
170,0.2,0.2,0.2
160,0.3,0.2,0.2
150,0.3,0.3,0.2
140,0.3,0.2,0.3
130,0.3,0.2,0.3
120,0.3,0.3,0.3
110,0.2,0.2,0.2
100,0.2,0.2,0.2
90,0.2,0.1,0.2
80,0.2,0.1,0.1
70,0.2,0.1,0.1
60,0.1,0.1,0.1
50,0.1,0.1,0.1
40,0.1,0.1,0.1
30,0.1,0.1,0.1
20,0.1,0.2,0.1
10,0.1,0.2,0.2
0,0.1,0.2,0.2
