,1,2,3,4,5
220,40.0,60.0,100.0,180.0,200.0
200,40.0,60.0,100.0,140.0,200.0
180,0.0,60.0,100.0,160.0,200.0
160,40.0,60.0,80.0,160.0,200.0
140,0.0,60.0,80.0,160.0,200.0
120,0.0,20.0,80.0,160.0,200.0
100,0.0,20.0,80.0,140.0,200.0
80,20.0,40.0,80.0,160.0,200.0
60,0.0,40.0,60.0,160.0,200.0
40,0.0,40.0,60.0,80.0,200.0
20,0.0,40.0,60.0,120.0,160.0
0,0.0,40.0,60.0,140.0,200.0
