I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,107,107.5,108.25,105.75,105,102.25,97.25,93.5,89.25,86.5,80.75,75.7,71,66.525,60.975,55.875,51.05,46.5,40.425,36.75,30.25,30.3,23.75,18.9,18.1,17.25,16.2,16.35,16,15.625,15.8,,1.2,0.274886453400422,0.275845125586611,0.276214906280457,0.274928327950107,0.273518445917659,0.271676019498581,0.267613132340034,0.260839253392175,0.255317450415821,0.249572024485355,0.24,0.23,0.22,0.213926390951071,0.204762512682476,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.097,0.09,0.08,0.07,0.06,0.052044275147896,0.05
,R,19.375,21.25,22.5,20.625,20,19.375,18.125,18.125,17.5,16.25,16.25,15.1875,15,14.5,13.625,13.25,12.5,12.5,11.25,11.25,11.25,10.875,10.625,10.375,10.5625,10.6875,10.3125,10.875,10.625,10.5,10.8125,,1.4,0.288395314398885,0.289321994789492,0.28945672058286,0.288704755832622,0.287792076703962,0.286572294070269,0.284829073137652,0.279784889042977,0.275728305141588,0.275330288629411,0.259,0.25,0.246,0.240365722714101,0.232,0.225,0.215,0.206,0.196,0.19,0.18,0.17,0.156668926267517,0.145488365308967,0.131389943370016,0.12,0.10703316648677,0.093,0.085443623807176,0.071643253186492,0.06
,X,105.231218633065,105.378781070954,105.885846551841,103.719197234649,103.077640640442,100.397569069176,95.5460458365494,91.7264104552227,87.5174982503499,84.9599170197335,79.0980404308476,74.1608376688802,69.3974062915899,64.9255390813199,59.4332398578439,54.2812410046049,49.4959846856288,44.7883913531174,38.8280584757981,34.9857113690718,28.0802421641979,28.2811664363406,21.240806834958,15.7977648735509,14.698421471369,13.5403044186606,12.4936921584454,12.2088850842327,11.9628330674636,11.5711116579178,11.5208438818517,,1.6,0.299809896561183,0.300116675651855,0.299779659979298,0.300452429812316,0.299509382859213,0.298250785435548,0.29678734805619,0.292089948376721,0.287855015585746,0.286985573682381,0.278337045596262,0.273353590466283,0.270219868596811,0.261650149202345,0.258,0.249432954630974,0.238,0.233,0.225,0.2171,0.21,0.200323403880165,0.18056931661993,0.168842678896798,0.154521372225073,0.14,0.119411782501369,0.11294398081772,0.097599571897844,0.081650952025385,0.073005516701012
,L,0.335131269532055,0.335601213601764,0.337216071821149,0.330315914760028,0.328272740893126,0.319737481112026,0.304286770180094,0.292122326290518,0.278718147294108,0.270572984139279,0.251904587359387,0.236181011684332,0.221010848062388,0.206769232743057,0.189277833942178,0.172870194282181,0.157630524476525,0.142638189022667,0.123656237184071,0.111419462958827,0.089427522815917,0.090067409032932,0.067645881639994,0.050311353100481,0.046810259462959,0.043121988594461,0.039788828530081,0.038881799631314,0.038098194482368,0.036850674069802,0.036690585610993,,1.8,0.309509836061636,0.309774304268686,0.310344495944301,0.309935591779791,0.308266964542928,0.307182511235309,0.306572771892729,0.301807855153153,0.297946744513902,0.298069938988605,0.289673380724043,0.284072404376256,0.280675060343336,0.272587505993067,0.27,0.260956313312667,0.254835056702284,0.249869178906816,0.245,0.239136159455829,0.229,0.212654212919435,0.19226368680927,0.180688636337634,0.166364359359695,0.158958412395263,0.131031188903117,0.124487671730973,0.108867378208112,0.091735900814333,0.082423749906737
,Flux,0.134052507812822,0.134240485440705,0.13488642872846,0.132126365904011,0.13130909635725,0.12789499244481,0.121714708072037,0.116848930516207,0.111487258917643,0.108229193655711,0.100761834943755,0.094472404673733,0.088404339224955,0.082707693097223,0.075711133576871,0.069148077712873,0.06305220979061,0.057055275609067,0.049462494873628,0.044567785183531,0.035771009126367,0.036026963613173,0.027058352655998,0.020124541240192,0.018724103785183,0.017248795437784,0.015915531412032,0.015552719852526,0.015239277792947,0.014740269627921,0.014676234244397,,2,0.317514765632372,0.317342545729811,0.318604072657268,0.317115545598787,0.317439570705892,0.31646613954321,0.314626754302784,0.311163568953175,0.30707904100647,0.306968664267584,0.299360346918208,0.29310624220553,0.29073258698916,0.28243578099135,0.28,0.271270428803859,0.265158134060145,0.260725931350044,0.26,0.250230481204595,0.244615997611514,0.224454071037426,0.20389901995138,0.194035506754449,0.178401662636222,0.170439004746327,0.142561374099748,0.135331958290133,0.119833172573611,0.102605119067433,0.091900366209414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.3241413704075,0.324772382044474,0.324636951761758,0.324387371998673,0.324372074397245,0.32329479354279,0.321881490885973,0.318642675129347,0.314881456767015,0.314909656745011,0.308354774991242,0.301383061345755,0.298744459481079,0.291798612507034,0.29,0.280413584908639,0.274626899425968,0.27,0.269,0.259748439390629,0.253917695774497,0.234829138936967,0.214860371990747,0.203847184799109,0.188953552394,0.181473243549909,0.152146506677966,0.146020637383572,0.130604619939574,0.113146999512678,0.100810238575765
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,2.4,0.330338043048922,0.330518630211657,0.331116693916912,0.330545402938453,0.33109701298469,0.330920531104688,0.329222931846345,0.325239060316751,0.322925260054558,0.321908835691793,0.317697662504885,0.314142555303381,0.308242169611387,0.303554769010399,0.296,0.289143912794184,0.283635733649766,0.28,0.279,0.268791271089089,0.263210084824625,0.244038185491575,0.224786470040855,0.213788511929424,0.199406352063717,0.191683966761205,0.164325018862038,0.156971473306482,0.141021680572931,0.122350893489982,0.108962322337383
0.6,U,60.9,61.8,62,61.7,60.8,59.9,57.8,55.1,53.1,51.3,48.3,45.5,42,39.1,36.4,33,30,27.17,23.66,21.98,17.7,17.72,14.26,11.6,10.79,10.2,9.73,9.76,9.46,9.44,9.33,,2.6,0.337101502026773,0.337298817293542,0.337472479868092,0.337,0.337126220592825,0.336149508478236,0.334444604368838,0.33241949269445,0.330034874262088,0.330380231526641,0.324279239770164,0.321399122637268,0.318671116624855,0.312340510641857,0.306,0.300375082307044,0.29447653053848,0.29,0.288,0.277631380523955,0.272897121448301,0.253426264691792,0.235059939783764,0.223198678005161,0.208703604400903,0.202079436330077,0.173846966893225,0.167103659489031,0.15185326250963,0.132728828307069,0.118638459202198
,P,6.1,6.9,7.1,6.8,6.5,6.4,6.2,6.1,5.8,5.5,5.5,5.3,5.1,4.9,4.8,4.6,4.32,4.27,4.06,4.13,3.89,3.76,3.76,3.81,3.7,3.7,3.7,3.81,3.69,3.78,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,101.5,103,103.333333333333,102.833333333333,101.333333333333,99.8333333333333,96.3333333333333,91.8333333333333,88.5,85.5,80.5,75.8333333333333,70,65.1666666666667,60.6666666666667,55,50,45.2833333333333,39.4333333333333,36.6333333333333,29.5,29.5333333333333,23.7666666666667,19.3333333333333,17.9833333333333,17,16.2166666666667,16.2666666666667,15.7666666666667,15.7333333333333,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,16.9444444444444,19.1666666666667,19.7222222222222,18.8888888888889,18.0555555555555,17.7777777777778,17.2222222222222,16.9444444444444,16.1111111111111,15.2777777777778,15.2777777777778,14.7222222222222,14.1666666666667,13.6111111111111,13.3333333333333,12.7777777777778,12,11.8611111111111,11.2777777777778,11.4722222222222,10.8055555555556,10.4444444444444,10.4444444444444,10.5833333333333,10.2777777777778,10.2777777777778,10.2777777777778,10.5833333333333,10.25,10.5,10.2777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,100.075650397433,101.200982647842,101.4337800163,101.083650117057,99.7117914693377,98.237696744826,94.7813598385226,90.2565616095597,87.0211589141712,84.1239532248267,79.0369502585521,74.39052773898,68.5514810602627,63.7293660627927,59.1833309865765,53.495124965381,48.5386443980464,43.7023377062103,37.7862343476145,34.7906485768096,27.4497717501585,27.6248322714309,21.3487241935287,16.1793335256225,14.7569496078422,13.5413176593202,12.5438256416611,12.3530360640613,11.9802035783111,11.7169867191944,11.6691809460055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.318712262412205,0.3222961230823,0.323037515975476,0.321922452602093,0.317553476016999,0.312858906830656,0.301851464453894,0.287441279011337,0.277137448771246,0.267910679059958,0.251710032670548,0.236912508722866,0.218316818663257,0.202959764531187,0.188481945817123,0.170366640017137,0.154581670057473,0.13917941944653,0.120338325947817,0.11079824387519,0.087419655255282,0.087977172838952,0.067989567495314,0.051526539890518,0.046996654802045,0.043125215475542,0.039948489304653,0.039340879184909,0.038153514580609,0.037315244328645,0.03716299664333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.191227357447323,0.19337767384938,0.193822509585286,0.193153471561256,0.190532085610199,0.187715344098394,0.181110878672336,0.172464767406802,0.166282469262747,0.160746407435975,0.151026019602329,0.14214750523372,0.130990091197954,0.121775858718712,0.113089167490274,0.102219984010282,0.092749002034484,0.083507651667918,0.07220299556869,0.066478946325114,0.052451793153169,0.052786303703371,0.040793740497189,0.030915923934311,0.028197992881227,0.025875129285325,0.023969093582792,0.023604527510945,0.022892108748365,0.022389146597187,0.022297797985998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,U,73.4,74.4,74.4,74.1,73.4,72.7,70.8,68,66,64,59.3,56.7,52.3,49.2,45.6,41.7,38,34.5,30.25,27.91,23.26,22.87,18.68,15.2,14.44,13.6,13,12.9,12.67,12.56,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,9.7,11.2,11.4,10.9,10.5,10.4,10.2,10,9.7,9.2,8.7,8.8,8.4,8.3,8.1,7.9,7.5,7.4,7.17,7.1,6.95,6.5,6.5,6.44,6.6,6.55,6.54,6.67,6.58,6.65,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,91.75,93,93,92.625,91.75,90.875,88.5,85,82.5,80,74.125,70.875,65.375,61.5,57,52.125,47.5,43.125,37.8125,34.8875,29.075,28.5875,23.35,19,18.05,17,16.25,16.125,15.8375,15.7,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,15.15625,17.5,17.8125,17.03125,16.40625,16.25,15.9375,15.625,15.15625,14.375,13.59375,13.75,13.125,12.96875,12.65625,12.34375,11.71875,11.5625,11.203125,11.09375,10.859375,10.15625,10.15625,10.0625,10.3125,10.234375,10.21875,10.421875,10.28125,10.390625,10.484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,90.489505391164,91.3386555626915,91.2782276545179,91.0457420664882,90.2712438207068,89.4103077111359,87.0531222515884,83.551537239,81.0958573907293,78.6978994319416,72.8678638765917,69.5284339317376,64.0439302354251,60.117065159882,55.5771476052658,50.6423484935039,46.0317379471762,41.5460493759635,36.1147497081784,33.0766740647771,26.9709028326709,26.7225699023784,21.0255341415504,16.1166402748836,14.81400836202,13.5741507417361,12.6348584652738,12.304476684702,12.0466719340862,11.7696606624565,11.5852710740567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L,0.28818313818842,0.290887438097744,0.290694992530312,0.289954592568434,0.287488037645563,0.284746202901707,0.277239242839453,0.266087698213376,0.258267061753915,0.250630252967967,0.232063260753477,0.221428133540566,0.203961561259316,0.191455621528287,0.176997285367088,0.161281364628993,0.146597891551517,0.13231225915912,0.115015126459167,0.105339726320946,0.085894595008506,0.085103725803753,0.066960299813855,0.051326879856317,0.047178370579682,0.043229779432281,0.040238402755649,0.039186231479943,0.038365197242313,0.037482995740307,0.036895767751773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flux,0.230546510550736,0.232709950478195,0.232555994024249,0.231963674054747,0.22999043011645,0.227796962321365,0.221791394271563,0.212870158570701,0.206613649403132,0.200504202374374,0.185650608602781,0.177142506832452,0.163169249007453,0.153164497222629,0.141597828293671,0.129025091703195,0.117278313241213,0.105849807327296,0.092012101167334,0.084271781056757,0.068715676006805,0.068082980643002,0.053568239851084,0.041061503885054,0.037742696463745,0.034583823545825,0.032190722204519,0.031348985183954,0.03069215779385,0.029986396592246,0.029516614201418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I [A],grade,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,U,82.1,82.8,83.1,82.5,82,81.5,79.7,77.2,75.6,73.9,68.4,65.1,60.7,57.5,53.5,48.9,45.2,40.7,36.4,33.5,28.34,28.3,23.4,19.6,18.17,17.3,17.21,16.25,16.1,15.71,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,14.3,16.2,16.2,15.7,15.2,15.3,14.8,14.7,14.3,13.9,12.9,12.8,12.6,12.6,12.3,12,11.7,11.3,11.2,10.9,10.8,10.5,10.34,10.77,10.43,10.6,11.6,10.5,10.57,10.4,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Z,82.1,82.8,83.1,82.5,82,81.5,79.7,77.2,75.6,73.9,68.4,65.1,60.7,57.5,53.5,48.9,45.2,40.7,36.4,33.5,28.34,28.3,23.4,19.6,18.17,17.3,17.21,16.25,16.1,15.71,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,14.3,16.2,16.2,15.7,15.2,15.3,14.8,14.7,14.3,13.9,12.9,12.8,12.6,12.6,12.3,12,11.7,11.3,11.2,10.9,10.8,10.5,10.34,10.77,10.43,10.6,11.6,10.5,10.57,10.4,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,80.845036953421,81.1997536942077,81.5056439763529,80.99234531732,80.5789054281578,80.0509837541051,78.3137918887855,75.7875319561206,74.2352342220323,72.5809892464962,67.1725390319586,63.8292252812142,59.3778578259607,56.1024954881688,52.0668800678512,47.4047465977828,43.6594777797445,39.099872122553,34.6340872551883,31.6771210813104,26.2014427083701,26.2800304413827,20.9915316258724,16.3758083769932,14.8783063552274,13.672234638127,12.7131467387111,12.4021167548125,12.1443443627065,11.7747229266765,11.617934411934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
