,3,4,5,6,7
220,122.23,13.83,0.96,0.06,0.0
200,144.31,20.12,0.35,0.19,0.0
180,169.62,25.06,0.29,0.07,0.0
160,198.98,32.73,1.16,0.04,0.03
140,233.52,44.09,0.28,0.15,0.01
120,274.38,60.37,0.25,0.21,0.02
100,322.88,82.29,0.3,0.22,0.0
80,380.66,111.69,0.9,0.48,0.01
60,450.1,151.9,1.28,0.31,0.01
40,549.07,209.7,0.56,0.07,0.01
20,661.83,300.82,0.08,0.07,0.0
0,816.38,448.4,1.64,0.06,0.07
