,2,3,4,5
220,1.16,1.21,1.24,1.38
200,1.1,1.1,1.1,1.14
180,0.95,0.96,0.96,0.95
160,0.68,0.71,0.72,0.72
140,0.44,0.46,0.47,0.47
120,0.39,0.33,0.33,0.31
100,0.74,0.46,0.46,0.36
80,1.73,1.73,1.04,1.04
60,3.89,3.89,2.53,2.53
40,8.45,8.45,8.45,5.99
20,18.47,18.47,18.47,18.47
0,40.77,40.77,40.77,40.77
