0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180
 -0.04841653122041295 -0.04349106023381157 -0.03889952979760999 -0.03451108520534722 -0.03026829973514804 -0.02612855569954194 -0.02205992389659191 -0.01804981000752588 -0.01407975441218702 -0.01015518189370466 -0.006260847518220836 -0.002391040136872724 0.001437040408470246 0.005235614313605742 0.009012561255007665 0.01276572887087248 0.01649400229783037 0.02019736825682514 0.02387205953735035
 -0.04850704184476354 -0.04358060148706018 -0.03898888918552382 -0.03460067091456658 -0.03036006898308546 -0.02622601242498114 -0.02216724118727861 -0.01815643736464089 -0.01418174795604153 -0.01024359962332944 -0.006340572084842425 -0.002474147976071762 0.001364159174589363 0.00517076921812171 0.008949799816645138 0.01270005008159973 0.01642698521063364 0.02012611515070338 0.02379723321041257
 -0.04870610182527527 -0.04379098792515288 -0.03921213090471029 -0.03483910502873651 -0.03060877819999616 -0.02647470605343458 -0.02240909898854484 -0.01839779922202589 -0.01442699538073816 -0.01049408996582059 -0.006589095394966443 -0.002714876480211454 0.001133138237875827 0.004950801074961539 0.008736894399327965 0.01249391120943746 0.01621495216957321 0.01990234342396979 0.02355908372992534
 -0.04894130104588693 -0.04396326289462611 -0.03933278209986393 -0.03497812750945575 -0.03078502360727061 -0.02668664267700005 -0.02265576900430476 -0.01867580088219419 -0.01473531312619135 -0.01082869677843105 -0.006947400704076333 -0.00308579400595179 0.0007483648830252099 0.00456328530633227 0.008347864818292878 0.01210260917774284 0.01581744997333777 0.01949378092862748 0.02312516170135916
 -0.04922713099835517 -0.04417833106605167 -0.0394183910204291 -0.03497257744131804 -0.03077480219810487 -0.02671351255852814 -0.02273569910762218 -0.01881294870658938 -0.01492513319299497 -0.01107011810289377 -0.007236738636780177 -0.003426806519798912 0.0003631694851278141 0.004127082166852508 0.007861857135191747 0.01156675364975015 0.01523623492144619 0.01886885988400797 0.02246008652286778
 -0.0492274999251772 -0.04419634035299849 -0.03945889907001598 -0.03488558576685816 -0.03061782527871436 -0.02654612370438306 -0.0226000708691355 -0.0187320659753278 -0.01491312892619798 -0.01113076528457052 -0.007374067749159894 -0.003644139058980228 6.196007618889295e-05 0.003740226309580925 0.007394180900487652 0.01100928270502926 0.01458643989517918 0.01811705110662705 0.02159920877408344
 -0.04881360329069784 -0.04388322136270673 -0.03924339153503557 -0.03469468836445222 -0.03035215697499648 -0.02625509529009103 -0.02231846538858691 -0.01849073356280654 -0.01473233804025421 -0.01102322282727884 -0.007355396241454296 -0.003722595764410683 -0.00012631269189331 0.003439869069639329 0.006967697452789698 0.01045460555826097 0.01389340826195311 0.01728709161945834 0.02063269728799735
 -0.04815599325118709 -0.0433502017792363 -0.03881711593343452 -0.03437878885526405 -0.03002709664908707 -0.02592891548200966 -0.02201030064095507 -0.01822619166946385 -0.01452531235807847 -0.01087957403885258 -0.007281142068633284 -0.003723290894134789 -0.0002122097102428 0.003256238197721408 0.006659504414994655 0.01000218349501914 0.01328285573348293 0.0165236896486721 0.01973519821163831
 -0.04736540732032631 -0.04271311480974442 -0.03831031959919068 -0.03398424269240684 -0.02970650328221039 -0.02562308149741453 -0.02173529080988171 -0.01798102449645463 -0.01432154639552256 -0.01072623038470608 -0.007184227475096843 -0.003690681573580688 -0.0002531859908979963 0.003114174235784074 0.006404355433181417 0.00961558802271896 0.01277435852534605 0.0158950729849795 0.01898614570444249
 -0.04654625756224765 -0.04205673279425624 -0.03779144047851322 -0.03359227208910051 -0.02940662755239329 -0.02533748652650585 -0.02146816873818601 -0.01774582585319323 -0.01411745423006457 -0.01056392452233095 -0.007069041477591358 -0.00363407295703691 -0.0002748943610195268 0.003000297091338847 0.006182001101358687 0.009291807105006072 0.01235342803253717 0.01537359174663882 0.01834967534503813
